,person_id,t_grade,fl_grade_0,fl_grade_208,fl_grade_219,fl_grade_232,fl_grade_250,fl_grade_261,fl_grade_271,fl_grade_285,fl_grade_298,predictResult_1,predictResult_ex0_1,predictResult_2,predictResult_ex0_2,predictResult_3,predictResult_ex0_3,predictResult_4,predictResult_ex0_4,predictResult_5,predictResult_ex0_5,predictResult_6,predictResult_ex0_6,predictResult_7,predictResult_ex0_7,predictResult_8,predictResult_ex0_8,predictResult_9,predictResult_ex0_9,predictResult_10,predictResult_ex0_10
26,0W07001F13122a,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
27,0W07001F13122b,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
28,0M07001F132,C_285,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
29,0M07001F1321,C_285,0,0,0,0,0,0,1,0,0,C_0,C_219,C_285,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_219
30,0M07001F13211,C_261,0,0,0,0,0,0,0,0,1,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_261
31,0M07001F132111,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
32,0M07001F13212,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
33,0M07001F132121,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
34,0W07001F13213,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
35,0W07001F1322,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
36,0W07001F1323,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
37,0W07001F133,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
38,0M07001F14,C_298,0,0,0,0,0,1,0,0,0,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_219
39,0M07001F141,C_285,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
40,0M07001F1411,C_285,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
41,0M07001F1412,C_285,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
42,0M07001F14121,C_285,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
43,0W07001F141211,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
44,0M07001F14122,C_285,0,0,0,1,0,0,0,0,0,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_219
45,0M07001F141221,C_0,0,0,0,0,0,1,0,0,0,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_219
46,0M07001F141222,C_250,0,0,0,0,0,1,0,0,0,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_219
47,0W07001F141223,C_0,0,0,0,0,1,0,0,0,0,C_0,C_271,C_0,C_271,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271
48,0W07001F141224,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
